product_name,price_sale,price_original,discount_rate,category,brand,product_url,type,rating_count,crawled_at,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Dung lượng RAM,Bộ nhớ trong,Pin,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tương thích,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,Hồng ngoại,Jack tai nghe 35,Hỗ trợ mạng,GPS,Khe cắm thẻ nhớ,Công nghệ sạc,Cổng sạc,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,Hệ thống làm mát,Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,"Chỉ số kháng nước, bụi",Công nghệ - Tiện ích,Cảm biến,Hãng sản xuất,Chất liệu,Tiện ích,,Loại card đồ họa,Loại RAM,Số khe ram,Ổ cứng,Cổng giao tiếp,Chip AI,Chất liệu tấm nền,Khe đọc thẻ nhớ,Chất liệu vỏ trên,Chất liệu vỏ dưới,Loại đèn bàn phím,Bảo mật,Webcam,Chất liệu vỏ màn hình,Nguồn,Tính năng khác,Socket,Loại màn hình,Lenovo Tab,Micro,Thời lượng sử dụng Pin,Phương thức điều khiển,Cổng kết nối,Công suất,Thời lượng pin,Tính năng,Số thiết bị kết nối cùng lúc,Thời gian sạc,Thao tác điều khiển,Chống nước,Kết nối,Ứng dụng kết nối,Phạm vi kết nối cho phép,Dung lượng pin,Loa,Phạm vi kết nối,Tính năng sạc,Định dạng âm thanh
HONOR Play 10 4GB 128GB,2290000,2290000,0%,Smartphone,Honor,https://cellphones.com.vn/dien-thoai-honor-play-10-4gb-128gb.html,Moi,0,2025-12-27 01:25:29,6.74 inches,TFT LCD,13 MP (Đèn Flash),5 MP,MediaTek Helio G81,Có,4 GB,128 GB,5000mAh,2 Nano-SIM,Android 15,720 x 1600 pixel,"Tần số quét 90Hz
16.7 triệu màu, 480 nits
Hỗ trợ 10 điểm chạm cùng lúc",8 nhân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO Find N3 Flip 12GB 256GB,13990000,13990000,0%,Smartphone,OPPO,https://cellphones.com.vn/oppo-find-n3-flip.html,Moi,4,2025-12-27 01:25:37,6.8 inches,AMOLED,"Camera chính: 50 MP, f/1.8, OIS
Camera góc rộng: 48 MP, f/2.2
Tele: 32 MP, f/2.0","32 MP, f/2.4, FOV 90°, ống kính 5P; Hỗ trợ AF",MediaTek Dimensity 9200,Có,12 GB,256 GB,Li-Po 4300 mAh,2 SIM (Nano-SIM),Android 13,1080 x 2520 pixels,"Màn hình chính: 6.8 inch, FHD+ (1080 x 2520 Pixels), tần số quét 120 Hz, 1.07 tỷ màu,1600 nits, Kính siêu mỏng Schott UTG
Màn hình phụ: 3.26 inch, AMOLED, 720 × 382 pixels, 16.7 triệu màu, độ sáng 900 nits, Kính cường lực GG7","1 nhân 3.05 GHz, 3 nhân 2.85 GHz & 4 nhân 1.8 GHz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone 16 Pro 128GB | Chính hãng VN/A,25490000,25490000,0%,Smartphone,Apple,https://cellphones.com.vn/iphone-16-pro.html,Moi,48,2025-12-27 01:25:50,6.3 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Hỗ trợ Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm, ƒ/2.2 và trường ảnh 120°, H","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,8 GB,128 GB,,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2622 x 1206 pixels,"Dynamic Island
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng tối đa 1000 nit
460 ppi
Lớp phủ kháng dầu chống in dấu vân tay
Hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Tương Thích Với Thiết Bị Trợ Thính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A70,9290000,9290000,0%,Smartphone,Samsung,https://cellphones.com.vn/samsung-galaxy-a70.html,Moi,4,2025-12-27 01:26:13,6.7 inches,"Super AMOLED 16 triệu màu, cảm ứng điện dung",32MP (f1.7) + 8MP (f2.2) + 5MP (f2.2),"32 MP, HDR, Đèn Flash trợ sáng, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt",Snapdragon 675,,6 GB,128 GB,"4,500mAh",Nano-SIM,Android 9 Pie,1080 x 2340 pixels (FullHD+),,8 Nhân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone 15 Plus 256GB | Chính hãng VN/A,21290000,21290000,0%,Smartphone,Apple,https://cellphones.com.vn/iphone-15-plus-256gb.html,Moi,17,2025-12-27 01:26:26,6.7 inches,Super Retina XDR OLED,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",Apple A16 Bionic,Có,6 GB,256 GB,4383 mAh,2 SIM (nano‑SIM và eSIM),iOS 17,2796 x 1290-pixel,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Tần số quét 60 Hz
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone 14 Pro Max 128GB | Chính hãng VN/A,25590000,25590000,0%,Smartphone,Apple,https://cellphones.com.vn/iphone-14-pro-max.html,Moi,118,2025-12-27 01:26:30,6.7 inches,Super Retina XDR OLED,"Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF
Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR","Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF",Apple A16 Bionic 6-core,Có,6 GB,128 GB,4.323 mAh,2 SIM (nano‑SIM và eSIM),iOS 16,2796 x 1290-pixel,"120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO Reno8 5G (8GB 256GB),13990000,13990000,0%,Smartphone,OPPO,https://cellphones.com.vn/oppo-reno-8-5g.html,Moi,1,2025-12-27 01:26:36,6.4 inches,AMOLED,"Camera chính: 50 MP, f/1.8
Camera phụ: 8 MP f/2.4
Camera Marco: 2 MP f/2.2","32 MP, f/2.4",MediaTek Dimensity 1300 8 nhân,Có,8 GB,256 GB,Li-Po 4500 mAh,2 SIM (Nano-SIM),Android 12,1080 x 2400 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass 5
Tần số quét 90 Hz
600 nits, 16.7 triệu màu, 409 PPI",8 nhân với độ mượt tối đa đến 3.0 GHz (1 lõi siêu lớn + 3 lõi lớn + 4 lõi nhỏ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19990000,19990000,0%,Smartphone,Khac,https://cellphones.com.vn/nubia-red-magic-7-18gb-256gb.html,Moi,0,2025-12-27 01:27:28,6.8 inches,AMOLED,"Camera góc rộng: 64 MP, f/1.75, PDAF
Camera góc siêu rộng: 8 MP, f/2.0
Camera macro: 2 MP, f/2.4","8 MP, f/2.0",Qualcomm SM8450 Snapdragon 8 Gen 1,Có,18 GB,256 GB,4500 mAh,2 SIM (Nano-SIM),"Android 12, Redmagic 5.0",1080 x 2400 pixels (FullHD+),"Kính 2.5D Corning® Gorilla®
Tốc độ làm mới 165 Hz
700 nits
4.096 cấp độ điều khiển độ sáng thông minh
Gam màu: 100% DCI-P
Tỷ lệ tương phản: 1000.000:1","Kryo™, Tốc độ xung nhịp CPU: lên tới 3.0 GHz",,Từ 144Hz trở lên,Tràn viền (Không khiếm khuyết),"8K 30fps, 4K 60fps/30fps, 1080P 60fps/30fps, 720P 30fps","Chuyển động chậm: 120fps, 240fps, 480fps, 960fps",1080P/720P@30fps,Adreno™,Không,Có,5G,"A-GPS, GLONASS, BDS, GALILEO",Không,Sạc nhanh 65W,USB Type-C,170.6 x 78.3 x 9.5 mm,215 g,Kính,Nhôm,Hệ thống tản nhiệt 3 chiều ICE 8.0,"Nút kích hoạt vai: tốc độ lấy mẫu cảm ứng 500Hz, nút cảm ứng lực kép
RGB Light: hiệu ứng ánh sáng hoàn toàn có thể tùy chỉnh",Công nghệ DTS:X Ultra Surround Sound,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",v5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO Reno10 Pro+ 5G 12GB 256GB,10490000,10490000,0%,Smartphone,OPPO,https://cellphones.com.vn/oppo-reno10-pro-plus.html,Moi,16,2025-12-27 01:28:24,6.74 inches,AMOLED,"Camera góc rộng: 50 MP
Kính tiềm vọng: 64 MP, PDAF, 5x optical zoom
Camera góc siêu rộng: 8 MP, f/2.2","Camera góc rộng: 32 MP, f/2.4",Snapdragon 8 plus Gen 1 8 nhân,Có,12 GB,256 GB,4700 mAh,2 SIM (Nano-SIM),Android 13,1240 x 2772 pixels,"1 tỷ màu, tần số quét 120Hz, HDR10+, 1100 nits, Kính cường lực AGC DT-Star2",1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điện thoại Masstel S7 4GB 128GB,1690000,1690000,0%,Smartphone,Khac,https://cellphones.com.vn/dien-thoai-masstel-s7.html,Moi,1,2025-12-27 01:29:30,6.745 inches,IPS LCD,"13.0 MP, ƒ/2.0","5.0 MP, ƒ/2.0",Unisoc SC9863A,,4 GB,128 GB,5000 mAh,2 Nano-SIM,Android 14 Go,720 x 1600 pixel,"Tần số 60 Hz, 16.7 triệu màu, 260 ppi","Octa-Core, 8 nhân, 1.6 GHz",,60Hz,Đục lỗ (Nốt ruồi),1080p@30fps,"Flash LED
HDR
Toàn cảnh (Panorama)
Quay chậm (Slow Motion)
Chụp hình & quay phim với Portrait AI
Pro Time-lapse",1080p@30fps,GE8322,,Có,4G,"BDS, GLONASS, GALILEO, GPS, A-GPS","MicroSD, 256 GB",Sạc 10 W,USB Type-C,165 x 76.1 x 8.8 mm,195g,Nhựa,Nhựa,,Mở khóa khuôn mặt,,Cảm biến vân tay cạnh bên,Cảm biến trọng lực,"Bảo mật vân tay, Nhận diện khuôn mặt",802.11 b/g/n,v4.2,05/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
